ID,Cement,Blasr,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,strength
,0.8623031035,0.2014299922,0.7748808245,0.6765576955,0.916950563,0.5960872881,0.8515011053,0.3227927037,0.01368007709
,0.1022544724,0.4303412373,0.2286507468,0.1135205909,0.8518308239,0.7343731876,0.9533739925,0.6446606136,0.0004391441933
,0.4529850716,0.05399970747,0.9882792424,0.3653973894,0.05825647183,0.5872039674,0.4162363518,0.9012966516,0.000113360391
,0.9094605571,0.4434432366,0.3731869054,0.6483093316,0.3931891723,0.7388096189,0.3390499024,0.2234434034,0.002147315334
,0.7690333713,0.4974967609,0.2338114449,0.7317668192,0.4196806764,0.3486164225,0.1215640269,0.2181799001,0.0002540156963
,0.5120776038,0.7115111504,0.7559237793,0.3921228614,0.03013674143,0.1480599229,0.1621690769,0.2143597823,0.00001675185193
,0.242007735,0.8270757959,0.9446073541,0.2172081434,0.7987196636,0.5937461355,0.03209154852,0.4930580797,0.0003081668439
,0.8260418033,0.9661671328,0.1302709676,0.1307536855,0.5676988823,0.4913765837,0.2360762724,0.5053837833,0.000452441049
,0.3656156708,0.284889558,0.1881016452,0.2342573154,0.02165531325,0.2505940796,0.3759615543,0.8003143085,0.000007494219067
,0.8753542338,0.431964886,0.4123637149,0.81395027,0.2534461136,0.1809049273,0.7835536554,0.6352083216,0.002896220002
,0.2995061398,0.3471264667,0.2369503333,0.6105201103,0.575835826,0.4888340672,0.9392068672,0.4916528283,0.001954927711
,0.2447480584,0.1845745191,0.2435935497,0.6992463035,0.08270041831,0.8864695025,0.242515385,0.969301167,0.000132603962
,0.05826489751,0.3966486183,0.1491395654,0.5782045894,0.7137101455,0.9715520718,0.9515232131,0.7803579613,0.001026097303
,0.1300121083,0.262873704,0.7132949116,0.3121964171,0.8263978303,0.7892667391,0.3568584454,0.8173671175,0.001447951773
,0.5480662545,0.3995360002,0.758250375,0.8300598166,0.5295185565,0.2358921268,0.5071981189,0.5169595085,0.004513773847
,0.4859704881,0.03494483783,0.7415882661,0.7230178482,0.2816071571,0.2144637853,0.05246975248,0.992216304,0.00002862976763
,0.9509806987,0.08553686406,0.5738799281,0.1417208376,0.5086396895,0.7026082454,0.02119617748,0.6563042239,0.00003289016153
,0.7721187457,0.3179786973,0.6223793121,0.6396387576,0.244705127,0.1427035632,0.5983894527,0.3100389932,0.0006332135143
